cycel;count;loss_training;loss_validation;cost_training;cost_validation;accuracy_training;accuracy_validation;accuracy_test
1;1;2.52063;2.64143;3.31168;3.28300;0.08610;0.09300;0.08920
1;100;1.28374;3.08648;2.41126;2.48719;0.35270;0.32510;0.33530
1;200;0.82734;2.84490;2.16970;2.32270;0.42250;0.36730;0.37640
1;300;0.66492;2.33479;2.01236;2.21998;0.45550;0.38350;0.39480
1;400;0.60070;2.36939;1.89571;2.13602;0.47070;0.39180;0.39890
1;500;0.50428;2.46416;1.79801;2.05921;0.48270;0.39680;0.40210
1;600;0.50588;2.36318;1.85731;0.41750
1;700;0.50325;2.29143;1.78818;0.42480
1;800;0.63382;2.41495;1.78114;0.43500
1;900;0.83864;2.53690;1.69826;0.44880
1;1000;1.23004;2.65974;1.42970;0.46160
