cycle;count;loss_training;loss_validation;cost_training;cost_validation;accuracy_training;accuracy_validation;accuracy_test
1;1;2.66735;2.74299;2.81583;2.75301;0.09116;0.08700;0.08910
1;196;2.00646;1.94193;1.91891;1.92342;0.36696;0.35800;0.36530
1;392;1.95151;1.87973;1.81380;1.82250;0.40843;0.41300;0.40150
1;588;1.80266;1.79698;1.74519;1.75631;0.43037;0.41600;0.41470
1;784;1.75160;1.71524;1.64811;1.68029;0.45755;0.45300;0.43600
1;980;1.73736;1.73019;1.66694;1.68668;0.45076;0.43300;0.43920
1;1176;1.67823;1.68599;1.60932;1.65599;0.46808;0.45200;0.44700
1;1372;1.67194;1.59161;1.54484;1.59338;0.49398;0.46400;0.46810
1;1568;1.50859;1.54780;1.47955;1.53447;0.51896;0.50100;0.48100
1;1764;1.46164;1.50911;1.42935;1.50309;0.53965;0.49400;0.50210
1;1960;1.47088;1.50342;1.40562;1.47918;0.54943;0.49600;0.50760
2;2156;1.48669;1.50920;1.42171;1.50076;0.54024;0.49600;0.50060
2;2352;1.58322;1.50868;1.46226;1.55079;0.52639;0.48700;0.48620
2;2548;1.56190;1.53145;1.50122;1.57323;0.50816;0.47800;0.46220
2;2744;1.61726;1.56640;1.50007;1.56477;0.50602;0.47300;0.46560
2;2940;1.56077;1.67049;1.57562;1.64576;0.48118;0.47500;0.45100
2;3136;1.58563;1.64509;1.54076;1.62447;0.49216;0.46700;0.45770
2;3332;1.55918;1.54761;1.46272;1.56762;0.52245;0.48600;0.47540
2;3528;1.43377;1.51898;1.41264;1.51696;0.54206;0.48900;0.48600
2;3724;1.39033;1.47409;1.35045;1.47459;0.56667;0.51700;0.50890
2;3920;1.39139;1.47440;1.32653;1.44978;0.57829;0.51700;0.51750
3;4116;1.39890;1.48510;1.34572;1.47074;0.56988;0.51600;0.50970
3;4312;1.48194;1.48189;1.38997;1.52106;0.55145;0.49200;0.49470
3;4508;1.49100;1.50903;1.45888;1.57784;0.52663;0.49000;0.47000
3;4704;1.54270;1.55233;1.45985;1.57538;0.52161;0.47400;0.47080
3;4900;1.61019;1.74146;1.63924;1.72582;0.47322;0.46600;0.43920
3;5096;1.54371;1.62413;1.50964;1.61293;0.50665;0.47000;0.46560
3;5292;1.51559;1.53684;1.42317;1.54694;0.53776;0.48600;0.48370
3;5488;1.38144;1.51846;1.38263;1.52218;0.55363;0.49600;0.48830
3;5684;1.35156;1.46721;1.31602;1.47280;0.58227;0.51300;0.50880
3;5880;1.35632;1.46017;1.29153;1.44661;0.59224;0.51500;0.51910
